cartodb_id,lsoa11cd,railway_dist,school_dist
1,E01006512,795,1054
2,E01006513,66,1619
3,E01006514,616,2239
4,E01006515,503,1996
5,E01006518,586,1587
6,E01006519,26,0
7,E01006520,466,17
8,E01006521,706,348
9,E01006522,453,0
10,E01006523,457,14
11,E01006524,18,0
12,E01006525,0,57
13,E01006526,659,36
14,E01006527,349,0
15,E01006528,372,171
16,E01006529,607,19
17,E01006530,696,15
18,E01006531,17,21
19,E01006532,668,43
20,E01006533,286,0
21,E01006534,480,192
22,E01006535,168,48
23,E01006536,9,0
24,E01006537,157,92
25,E01006538,0,0
26,E01006539,575,0
27,E01006540,2063,0
28,E01006541,1237,13
29,E01006542,1017,439
30,E01006543,2045,37
31,E01006544,2076,0
32,E01006545,1994,272
33,E01006546,1834,445
34,E01006547,2082,516
35,E01006548,2280,54
36,E01006549,1003,136
37,E01006550,1204,0
38,E01006551,565,0
39,E01006552,892,386
40,E01006553,924,8
41,E01006554,1224,51
42,E01006556,515,285
43,E01006557,1075,0
44,E01006558,1165,1053
45,E01006560,990,1349
46,E01006562,1842,659
47,E01006563,1655,395
48,E01006564,1322,1081
49,E01006565,762,0
50,E01006566,673,7
51,E01006567,369,0
52,E01006568,1646,0
53,E01006569,1014,213
54,E01006570,1144,0
55,E01006571,896,0
56,E01006572,1341,105
57,E01006573,772,0
58,E01006574,1433,0
59,E01006575,441,0
60,E01006576,0,131
61,E01006577,523,0
62,E01006578,211,0
63,E01006579,437,0
64,E01006580,918,97
65,E01006581,965,142
66,E01006582,757,0
67,E01006583,1346,0
68,E01006584,91,169
69,E01006585,635,14
70,E01006586,519,0
71,E01006587,73,53
72,E01006588,518,0
73,E01006589,953,0
74,E01006590,1085,0
75,E01006591,794,0
76,E01006592,946,0
77,E01006593,670,7
78,E01006594,1377,14
79,E01006595,17,18
80,E01006596,357,0
81,E01006597,811,0
82,E01006598,2712,19
83,E01006599,2961,13
84,E01006600,2717,26
85,E01006603,2479,0
86,E01006604,2964,0
87,E01006605,2579,0
88,E01006606,2562,59
89,E01006607,1538,0
90,E01006608,821,453
91,E01006609,1239,448
92,E01006610,790,846
93,E01006611,718,1307
94,E01006612,1618,58
95,E01006613,1016,179
96,E01006614,901,845
97,E01006615,921,958
98,E01006616,2053,243
99,E01006617,2399,0
100,E01006618,2413,26
101,E01006619,2375,0
102,E01006620,2001,28
103,E01006621,1674,0
104,E01006622,1717,0
105,E01006623,3319,367
106,E01006624,3063,626
107,E01006625,3287,65
108,E01006626,2926,0
109,E01006627,2587,0
110,E01006628,0,56
111,E01006629,111,222
112,E01006630,100,1450
113,E01006632,370,982
114,E01006633,464,697
115,E01006637,2514,232
116,E01006638,2052,0
117,E01006639,2252,3
118,E01006640,2048,0
119,E01006641,1888,208
120,E01006642,1652,0
121,E01006643,1801,127
122,E01006644,2905,138
123,E01006645,2929,0
124,E01006646,585,1114
125,E01006647,1047,449
126,E01006648,186,1637
127,E01006651,54,45
128,E01006652,422,123
129,E01006653,521,0
130,E01006654,121,0
131,E01006655,0,0
132,E01006656,704,425
133,E01006657,654,595
134,E01006658,974,44
135,E01006659,262,0
136,E01006660,565,45
137,E01006661,2673,80
138,E01006662,1911,0
139,E01006663,1580,0
140,E01006664,2436,0
141,E01006665,3221,65
142,E01006666,3813,99
143,E01006667,2902,0
144,E01006668,4440,60
145,E01006669,3205,137
146,E01006670,3753,0
147,E01006671,3555,0
148,E01006672,2703,0
149,E01006673,1076,1467
150,E01006674,792,694
151,E01006675,742,523
152,E01006676,664,1415
153,E01006677,972,1113
154,E01006678,662,528
155,E01006679,515,596
156,E01006680,96,0
157,E01006681,156,181
158,E01006682,292,444
159,E01006683,0,54
160,E01006684,0,221
161,E01006685,265,0
162,E01006686,300,0
163,E01006687,0,108
164,E01006688,22,0
165,E01006689,3,377
166,E01006690,204,0
167,E01006691,598,496
168,E01006692,0,0
169,E01006693,1536,39
170,E01006694,1293,29
171,E01006695,1159,0
172,E01006696,850,331
173,E01006697,915,66
174,E01006698,413,1474
175,E01006699,82,1766
176,E01006700,469,1353
177,E01006701,257,1622
178,E01006702,183,1987
179,E01006703,730,1323
180,E01006705,625,1321
181,E01006706,3253,4
182,E01006707,2508,0
183,E01006708,2143,0
184,E01006709,2378,65
185,E01006710,2775,567
186,E01006711,705,0
187,E01006712,1276,99
188,E01006713,1152,138
189,E01006716,90,35
190,E01006717,1618,223
191,E01006718,1378,161
192,E01006719,1480,0
193,E01006720,0,0
194,E01006721,600,72
195,E01006722,717,0
196,E01006723,961,0
197,E01006724,697,47
198,E01006725,7,0
199,E01006726,634,7
200,E01006727,257,77
201,E01006728,657,88
202,E01006729,1749,0
203,E01006730,2280,9
204,E01006731,2414,0
205,E01006732,2031,28
206,E01006734,2274,162
207,E01006735,1592,14
208,E01006736,1919,0
209,E01006737,1952,13
210,E01006738,867,0
211,E01006739,768,93
212,E01006740,442,13
213,E01006741,797,0
214,E01006742,152,12
215,E01006743,0,0
216,E01006744,318,14
217,E01006745,212,73
218,E01006746,1010,699
219,E01006747,257,1036
220,E01006748,758,903
221,E01006751,154,574
222,E01006752,238,62
223,E01006753,1921,224
224,E01006754,2348,0
225,E01006755,1433,0
226,E01006756,1841,0
227,E01006757,2507,259
228,E01006758,1503,0
229,E01006759,1124,13
230,E01006760,1622,20
231,E01006761,1698,0
232,E01006762,2506,137
233,E01006763,2524,54
234,E01006764,1895,6
235,E01006765,2270,32
236,E01006766,2441,262
237,E01006767,2264,46
238,E01006768,1779,0
239,E01006769,1097,0
240,E01006770,1885,0
241,E01006771,2740,0
242,E01006772,2198,0
243,E01006773,232,113
244,E01006774,613,0
245,E01006775,1589,0
246,E01006776,79,2561
247,E01006778,0,2134
248,E01006779,359,2307
249,E01006780,356,879
250,E01006781,272,1275
251,E01006782,39,1279
252,E01006783,247,834
253,E01006784,0,1555
254,E01006785,54,1139
255,E01006786,0,1706
256,E01006787,0,1314
257,E01006788,293,1101
258,E01006790,357,1272
259,E01006791,284,860
260,E01006792,2109,0
261,E01006793,1902,0
262,E01006794,2132,110
263,E01006795,1184,0
264,E01006796,1593,0
265,E01006797,1243,139
266,E01006798,1186,0
267,E01006799,1670,126
268,E01006800,1552,91
269,E01006801,2303,0
270,E01032505,3,491
271,E01032506,242,241
272,E01032507,17,50
273,E01032508,564,0
274,E01032509,176,117
275,E01032510,1358,40
276,E01032511,596,644
277,E01033747,1482,933
278,E01033748,0,1216
279,E01033749,502,0
280,E01033750,561,2329
281,E01033751,288,2436
282,E01033752,0,3014
283,E01033753,195,3096
284,E01033754,398,2611
285,E01033755,99,2763
286,E01033756,0,2352
287,E01033757,890,1427
288,E01033758,129,1543
289,E01033759,2688,0
290,E01033760,0,2097
291,E01033761,144,2581
292,E01033762,5,2511
293,E01033763,137,541
294,E01033764,516,1792
295,E01033765,509,1934
296,E01033766,915,156
297,E01033767,346,1184
298,E01033768,1011,1390
